Region,Trust_type,Trust_subtype,Trust_code,Trust_name,Domain,Sub-domain,Metric_ID,Metric_description,Reporting_date,Units,Value,Median_value,Lower_quartile,Upper_quartile,Rank
South East,Acute trust,Acute - Teaching,RTH,Oxford University Hospitals NHS Foundation Trust,Access to services,Urgent and emergency care,OF0013,"Percentage of emergency department attendances admitted, transferred or discharged within four hours",Q1 2025,percent,79.8,76.0,70.05,78.95,27.0
South East,Acute trust,Acute - Medium,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,Access to services,Urgent and emergency care,OF0013,"Percentage of emergency department attendances admitted, transferred or discharged within four hours",Q1 2025,percent,77.0,76.0,70.05,78.95,51.0
South East,Acute trust,Acute - Medium,RTP,Surrey and Sussex Healthcare NHS Trust,Access to services,Urgent and emergency care,OF0013,"Percentage of emergency department attendances admitted, transferred or discharged within four hours",Q1 2025,percent,82.4,76.0,70.05,78.95,15.0
North East,Acute trust,Acute - Teaching,RTR,South Tees Hospitals NHS Foundation Trust,Access to services,Urgent and emergency care,OF0013,"Percentage of emergency department attendances admitted, transferred or discharged within four hours",Q1 2025,percent,77.6,76.0,70.05,78.95,44.0
North West,Acute trust,Acute - Teaching,RTX,University Hospitals of Morecambe Bay NHS Foundation Trust,Access to services,Urgent and emergency care,OF0013,"Percentage of emergency department attendances admitted, transferred or discharged within four hours",Q1 2025,percent,75.1,76.0,70.05,78.95,66.0
South West,Acute trust,Acute - Large,RVJ,North Bristol NHS Trust,Access to services,Urgent and emergency care,OF0013,"Percentage of emergency department attendances admitted, transferred or discharged within four hours",Q1 2025,percent,70.0,76.0,70.05,78.95,93.0
London,Acute trust,Acute - Teaching,RVR,Epsom and St Helier University Hospitals NHS Trust,Access to services,Urgent and emergency care,OF0013,"Percentage of emergency department attendances admitted, transferred or discharged within four hours",Q1 2025,percent,69.4,76.0,70.05,78.95,97.0
South East,Acute trust,Acute - Teaching,RVV,East Kent Hospitals University NHS Foundation Trust,Access to services,Urgent and emergency care,OF0013,"Percentage of emergency department attendances admitted, transferred or discharged within four hours",Q1 2025,percent,84.0,76.0,70.05,78.95,10.0
North East,Acute trust,Acute - Medium,RVW,North Tees and Hartlepool NHS Foundation Trust,Access to services,Urgent and emergency care,OF0013,"Percentage of emergency department attendances admitted, transferred or discharged within four hours",Q1 2025,percent,84.4,76.0,70.05,78.95,9.0
North East,Acute trust,Acute - Teaching,RWA,Hull University Teaching Hospitals NHS Trust,Access to services,Urgent and emergency care,OF0013,"Percentage of emergency department attendances admitted, transferred or discharged within four hours",Q1 2025,percent,66.9,76.0,70.05,78.95,110.0
Midlands,Acute trust,Acute - Large,RWD,United Lincolnshire Hospitals NHS Trust,Access to services,Urgent and emergency care,OF0013,"Percentage of emergency department attendances admitted, transferred or discharged within four hours",Q1 2025,percent,76.0,76.0,70.05,78.95,62.0
Midlands,Acute trust,Acute - Teaching,RWE,University Hospitals of Leicester NHS Trust,Access to services,Urgent and emergency care,OF0013,"Percentage of emergency department attendances admitted, transferred or discharged within four hours",Q1 2025,percent,75.9,76.0,70.05,78.95,63.0
South East,Acute trust,Acute - Large,RWF,Maidstone and Tunbridge Wells NHS Trust,Access to services,Urgent and emergency care,OF0013,"Percentage of emergency department attendances admitted, transferred or discharged within four hours",Q1 2025,percent,82.8,76.0,70.05,78.95,12.0
East,Acute trust,Acute - Teaching,RWG,West Hertfordshire Teaching Hospitals NHS Trust,Access to services,Urgent and emergency care,OF0013,"Percentage of emergency department attendances admitted, transferred or discharged within four hours",Q1 2025,percent,84.6,76.0,70.05,78.95,8.0
East,Acute trust,Acute - Large,RWH,East and North Hertfordshire NHS Trust,Access to services,Urgent and emergency care,OF0013,"Percentage of emergency department attendances admitted, transferred or discharged within four hours",Q1 2025,percent,77.5,76.0,70.05,78.95,46.0
North West,Acute trust,Acute - Medium,RWJ,Stockport NHS Foundation Trust,Access to services,Urgent and emergency care,OF0013,"Percentage of emergency department attendances admitted, transferred or discharged within four hours",Q1 2025,percent,69.2,76.0,70.05,78.95,99.0
Midlands,Acute trust,Acute - Large,RWP,Worcestershire Acute Hospitals NHS Trust,Access to services,Urgent and emergency care,OF0013,"Percentage of emergency department attendances admitted, transferred or discharged within four hours",Q1 2025,percent,64.1,76.0,70.05,78.95,116.0
North West,Acute trust,Acute - Teaching,RWW,Warrington and Halton Teaching Hospitals NHS Foundation Trust,Access to services,Urgent and emergency care,OF0013,"Percentage of emergency department attendances admitted, transferred or discharged within four hours",Q1 2025,percent,68.9,76.0,70.05,78.95,103.0
North East,Acute trust,Acute - Large,RWY,Calderdale and Huddersfield NHS Foundation Trust,Access to services,Urgent and emergency care,OF0013,"Percentage of emergency department attendances admitted, transferred or discharged within four hours",Q1 2025,percent,85.6,76.0,70.05,78.95,7.0
Midlands,Acute trust,Acute - Teaching,RX1,Nottingham University Hospitals NHS Trust,Access to services,Urgent and emergency care,OF0013,"Percentage of emergency department attendances admitted, transferred or discharged within four hours",Q1 2025,percent,67.0,76.0,70.05,78.95,109.0
South East,Acute trust,Acute - Large,RXC,East Sussex Healthcare NHS Trust,Access to services,Urgent and emergency care,OF0013,"Percentage of emergency department attendances admitted, transferred or discharged within four hours",Q1 2025,percent,79.1,76.0,70.05,78.95,31.0
North East,Acute trust,Acute - Teaching,RXF,Mid Yorkshire Teaching NHS Trust,Access to services,Urgent and emergency care,OF0013,"Percentage of emergency department attendances admitted, transferred or discharged within four hours",Q1 2025,percent,72.3,76.0,70.05,78.95,78.0
Midlands,Acute trust,Acute - Large,RXK,Sandwell and West Birmingham Hospitals NHS Trust,Access to services,Urgent and emergency care,OF0013,"Percentage of emergency department attendances admitted, transferred or discharged within four hours",Q1 2025,percent,80.0,76.0,70.05,78.95,24.0
North West,Acute trust,Acute - Teaching,RXL,Blackpool Teaching Hospitals NHS Foundation Trust,Access to services,Urgent and emergency care,OF0013,"Percentage of emergency department attendances admitted, transferred or discharged within four hours",Q1 2025,percent,78.0,76.0,70.05,78.95,37.0
North West,Acute trust,Acute - Teaching,RXN,Lancashire Teaching Hospitals NHS Foundation Trust,Access to services,Urgent and emergency care,OF0013,"Percentage of emergency department attendances admitted, transferred or discharged within four hours",Q1 2025,percent,70.5,76.0,70.05,78.95,89.0
North East,Acute trust,Acute - Multi-Service,RXP,County Durham and Darlington NHS Foundation Trust,Access to services,Urgent and emergency care,OF0013,"Percentage of emergency department attendances admitted, transferred or discharged within four hours",Q1 2025,percent,79.8,76.0,70.05,78.95,27.0
South East,Acute trust,Acute - Multi-Service,RXQ,Buckinghamshire Healthcare NHS Trust,Access to services,Urgent and emergency care,OF0013,"Percentage of emergency department attendances admitted, transferred or discharged within four hours",Q1 2025,percent,78.2,76.0,70.05,78.95,35.0
North West,Acute trust,Acute - Large,RXR,East Lancashire Hospitals NHS Trust,Access to services,Urgent and emergency care,OF0013,"Percentage of emergency department attendances admitted, transferred or discharged within four hours",Q1 2025,percent,80.0,76.0,70.05,78.95,24.0
Midlands,Acute trust,Acute - Medium,RXW,The Shrewsbury and Telford Hospital NHS Trust,Access to services,Urgent and emergency care,OF0013,"Percentage of emergency department attendances admitted, transferred or discharged within four hours",Q1 2025,percent,59.5,76.0,70.05,78.95,121.0
London,Acute trust,Acute - Teaching,RYJ,Imperial College Healthcare NHS Trust,Access to services,Urgent and emergency care,OF0013,"Percentage of emergency department attendances admitted, transferred or discharged within four hours",Q1 2025,percent,80.6,76.0,70.05,78.95,21.0
South East,Acute trust,Acute - Teaching,RYR,University Hospitals Sussex NHS Foundation Trust,Access to services,Urgent and emergency care,OF0013,"Percentage of emergency department attendances admitted, transferred or discharged within four hours",Q1 2025,percent,72.6,76.0,70.05,78.95,77.0
North West,Acute trust,Acute - Teaching,R0A,Manchester University NHS Foundation Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,4.78,8.36,4.14,12.92,35.0
North East,Acute trust,Acute - Large,R0B,South Tyneside and Sunderland NHS Foundation Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,3.69,8.36,4.14,12.92,25.0
South West,Acute trust,Acute - Teaching,R0D,University Hospitals Dorset NHS Foundation Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,4.69,8.36,4.14,12.92,34.0
South East,Acute trust,Acute - Multi-Service,R1F,Isle of Wight NHS Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,12.16,8.36,4.14,12.92,85.0
London,Acute trust,Acute - Teaching,R1H,Barts Health NHS Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,14.23,8.36,4.14,12.92,99.0
London,Acute trust,Acute - Teaching,R1K,London North West University Healthcare NHS Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,12.88,8.36,4.14,12.92,91.0
South East,Acute trust,Acute - Medium,RA2,Royal Surrey County Hospital NHS Foundation Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,3.94,8.36,4.14,12.92,28.0
South West,Acute trust,Acute - Teaching,RA7,University Hospitals Bristol and Weston NHS Foundation Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,4.02,8.36,4.14,12.92,31.0
South West,Acute trust,Acute - Multi-Service,RA9,Torbay and South Devon NHS Foundation Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,7.96,8.36,4.14,12.92,57.0
North East,Acute trust,Acute - Teaching,RAE,Bradford Teaching Hospitals NHS Foundation Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,5.3,8.36,4.14,12.92,39.0
East,Acute trust,Acute - Large,RAJ,Mid and South Essex NHS Foundation Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,8.27,8.36,4.14,12.92,60.0
London,Acute trust,Acute - Teaching,RAL,Royal Free London NHS Foundation Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,12.92,8.36,4.14,12.92,92.0
London,Acute trust,Acute - Small,RAS,The Hillingdon Hospitals NHS Foundation Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,12.06,8.36,4.14,12.92,83.0
London,Acute trust,Acute - Medium,RAX,Kingston and Richmond NHS Foundation Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,13.92,8.36,4.14,12.92,96.0
South West,Acute trust,Acute - Small,RBD,Dorset County Hospital NHS Foundation Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,6.3,8.36,4.14,12.92,43.0
Midlands,Acute trust,Acute - Small,RBK,Walsall Healthcare NHS Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,4.92,8.36,4.14,12.92,36.0
North West,Acute trust,Acute - Teaching,RBL,Wirral University Teaching Hospital NHS Foundation Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,22.22,8.36,4.14,12.92,121.0
North West,Acute trust,Acute - Teaching,RBN,Mersey and West Lancashire Teaching Hospitals NHS Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,16.93,8.36,4.14,12.92,113.0
North West,Acute trust,Acute - Specialist,RBS,Alder Hey Children's NHS Foundation Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,0.17,8.36,4.14,12.92,6.0
North West,Acute trust,Acute - Small,RBT,Mid Cheshire Hospitals NHS Foundation Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,17.66,8.36,4.14,12.92,116.0
East,Acute trust,Acute - Medium,RC9,Bedfordshire Hospitals NHS Foundation Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,3.41,8.36,4.14,12.92,21.0
North East,Acute trust,Acute - Teaching,RCB,York and Scarborough Teaching Hospitals NHS Foundation Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,14.66,8.36,4.14,12.92,103.0
North East,Acute trust,Acute - Small,RCD,Harrogate and District NHS Foundation Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,1.28,8.36,4.14,12.92,9.0
North East,Acute trust,Acute - Small,RCF,Airedale NHS Foundation Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,5.02,8.36,4.14,12.92,38.0
North East,Acute trust,Acute - Specialist,RCU,Sheffield Children's NHS Foundation Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,0.0,8.36,4.14,12.92,1.0
East,Acute trust,Acute - Small,RCX,"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,14.1,8.36,4.14,12.92,98.0
South West,Acute trust,Acute - Medium,RD1,Royal United Hospitals Bath NHS Foundation Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,7.85,8.36,4.14,12.92,56.0
East,Acute trust,Acute - Teaching,RD8,Milton Keynes University Hospital NHS Foundation Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,5.32,8.36,4.14,12.92,40.0
East,Acute trust,Acute - Large,RDE,East Suffolk and North Essex NHS Foundation Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,12.11,8.36,4.14,12.92,84.0
South East,Acute trust,Acute - Large,RDU,Frimley Health NHS Foundation Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,9.02,8.36,4.14,12.92,65.0
South West,Acute trust,Acute - Large,REF,Royal Cornwall Hospitals NHS Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,14.44,8.36,4.14,12.92,100.0
North West,Acute trust,Acute - Teaching,REM,Liverpool University Hospitals NHS Foundation Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,14.99,8.36,4.14,12.92,105.0
North West,Acute trust,Acute - Specialist,REP,Liverpool Women's NHS Foundation Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,0.0,8.36,4.14,12.92,1.0
London,Acute trust,Acute - Teaching,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,16.43,8.36,4.14,12.92,112.0
North East,Acute trust,Acute - Small,RFF,Barnsley Hospital NHS Foundation Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,2.18,8.36,4.14,12.92,15.0
North East,Acute trust,Acute - Small,RFR,The Rotherham NHS Foundation Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,1.79,8.36,4.14,12.92,11.0
Midlands,Acute trust,Acute - Small,RFS,Chesterfield Royal Hospital NHS Foundation Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,5.45,8.36,4.14,12.92,42.0
East,Acute trust,Acute - Large,RGN,North West Anglia NHS Foundation Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,11.71,8.36,4.14,12.92,81.0
East,Acute trust,Acute - Teaching,RGP,James Paget University Hospitals NHS Foundation Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,7.18,8.36,4.14,12.92,49.0
East,Acute trust,Acute - Small,RGR,West Suffolk NHS Foundation Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,3.89,8.36,4.14,12.92,27.0
East,Acute trust,Acute - Teaching,RGT,Cambridge University Hospitals NHS Foundation Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,7.55,8.36,4.14,12.92,54.0
South West,Acute trust,Acute - Multi-Service,RH5,Somerset NHS Foundation Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,4.39,8.36,4.14,12.92,33.0
South West,Acute trust,Acute - Large,RH8,Royal Devon University Healthcare NHS Foundation Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,3.99,8.36,4.14,12.92,30.0
South East,Acute trust,Acute - Teaching,RHM,University Hospital Southampton NHS Foundation Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,2.1,8.36,4.14,12.92,14.0
North East,Acute trust,Acute - Teaching,RHQ,Sheffield Teaching Hospitals NHS Foundation Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,4.26,8.36,4.14,12.92,32.0
South East,Acute trust,Acute - Large,RHU,Portsmouth Hospitals University National Health Service Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,14.97,8.36,4.14,12.92,104.0
South East,Acute trust,Acute - Large,RHW,Royal Berkshire NHS Foundation Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,3.95,8.36,4.14,12.92,29.0
London,Acute trust,Acute - Teaching,RJ1,Guy's and St Thomas' NHS Foundation Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,1.43,8.36,4.14,12.92,10.0
London,Acute trust,Acute - Large,RJ2,Lewisham and Greenwich NHS Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,13.27,8.36,4.14,12.92,94.0
London,Acute trust,Acute - Medium,RJ6,Croydon Health Services NHS Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,10.96,8.36,4.14,12.92,79.0
London,Acute trust,Acute - Teaching,RJ7,St George's University Hospitals NHS Foundation Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,10.3,8.36,4.14,12.92,75.0
Midlands,Acute trust,Acute - Teaching,RJC,South Warwickshire University NHS Foundation Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,3.61,8.36,4.14,12.92,24.0
Midlands,Acute trust,Acute - Teaching,RJE,University Hospitals of North Midlands NHS Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,15.15,8.36,4.14,12.92,106.0
North East,Acute trust,Acute - Medium,RJL,Northern Lincolnshire and Goole NHS Foundation Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,17.0,8.36,4.14,12.92,115.0
North West,Acute trust,Acute - Small,RJN,East Cheshire NHS Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,12.56,8.36,4.14,12.92,89.0
North West,Acute trust,Acute - Small,RJR,Countess of Chester Hospital NHS Foundation Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,24.45,8.36,4.14,12.92,122.0
London,Acute trust,Acute - Teaching,RJZ,King's College Hospital NHS Foundation Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,12.92,8.36,4.14,12.92,92.0
Midlands,Acute trust,Acute - Medium,RK5,Sherwood Forest Hospitals NHS Foundation Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,2.77,8.36,4.14,12.92,17.0
South West,Acute trust,Acute - Teaching,RK9,University Hospitals Plymouth NHS Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,16.17,8.36,4.14,12.92,110.0
Midlands,Acute trust,Acute - Teaching,RKB,University Hospitals Coventry and Warwickshire NHS Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,12.47,8.36,4.14,12.92,88.0
London,Acute trust,Acute - Multi-Service,RKE,Whittington Health NHS Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,7.52,8.36,4.14,12.92,52.0
Midlands,Acute trust,Acute - Large,RL4,The Royal Wolverhampton NHS Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,8.34,8.36,4.14,12.92,61.0
Midlands,Acute trust,Acute - Multi-Service,RLQ,Wye Valley NHS Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,15.65,8.36,4.14,12.92,109.0
Midlands,Acute trust,Acute - Small,RLT,George Eliot Hospital NHS Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,12.4,8.36,4.14,12.92,87.0
East,Acute trust,Acute - Teaching,RM1,Norfolk and Norwich University Hospitals NHS Foundation Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,5.34,8.36,4.14,12.92,41.0
North West,Acute trust,Acute - Teaching,RM3,Northern Care Alliance NHS Foundation Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,11.83,8.36,4.14,12.92,82.0
North West,Acute trust,Acute - Medium,RMC,Bolton NHS Foundation Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,9.24,8.36,4.14,12.92,67.0
North West,Acute trust,Acute - Small,RMP,Tameside and Glossop Integrated Care NHS Foundation Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,13.42,8.36,4.14,12.92,95.0
South West,Acute trust,Acute - Medium,RN3,Great Western Hospitals NHS Foundation Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,15.3,8.36,4.14,12.92,108.0
South East,Acute trust,Acute - Large,RN5,Hampshire Hospitals NHS Foundation Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,4.97,8.36,4.14,12.92,37.0
South East,Acute trust,Acute - Small,RN7,Dartford and Gravesham NHS Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,9.84,8.36,4.14,12.92,69.0
Midlands,Acute trust,Acute - Medium,RNA,The Dudley Group NHS Foundation Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,8.69,8.36,4.14,12.92,63.0
North East,Acute trust,Acute - Medium,RNN,North Cumbria Integrated Care NHS Foundation Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,10.01,8.36,4.14,12.92,72.0
Midlands,Acute trust,Acute - Small,RNQ,Kettering General Hospital NHS Foundation Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,11.38,8.36,4.14,12.92,80.0
Midlands,Acute trust,Acute - Medium,RNS,Northampton General Hospital NHS Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,15.15,8.36,4.14,12.92,106.0
South West,Acute trust,Acute - Small,RNZ,Salisbury NHS Foundation Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,8.19,8.36,4.14,12.92,58.0
North East,Acute trust,Acute - Teaching,RP5,Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,2.82,8.36,4.14,12.92,18.0
London,Acute trust,Acute - Specialist,RP6,Moorfields Eye Hospital NHS Foundation Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,0.0,8.36,4.14,12.92,1.0
South East,Acute trust,Acute - Medium,RPA,Medway NHS Foundation Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,10.39,8.36,4.14,12.92,76.0
Midlands,Acute trust,Acute - Specialist,RQ3,Birmingham Women's and Children's NHS Foundation Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,0.0,8.36,4.14,12.92,1.0
London,Acute trust,Acute - Teaching,RQM,Chelsea and Westminster Hospital NHS Foundation Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,3.47,8.36,4.14,12.92,22.0
East,Acute trust,Acute - Small,RQW,The Princess Alexandra Hospital NHS Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,7.6,8.36,4.14,12.92,55.0
London,Acute trust,Acute - Teaching,RQX,Homerton Healthcare NHS Foundation Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,3.69,8.36,4.14,12.92,25.0
North East,Acute trust,Acute - Medium,RR7,Gateshead Health NHS Foundation Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,0.7,8.36,4.14,12.92,8.0
North East,Acute trust,Acute - Teaching,RR8,Leeds Teaching Hospitals NHS Trust,Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,7.08,8.36,4.14,12.92,48.0
North West,Acute trust,Acute - Medium,RRF,"Wrightington, Wigan and Leigh NHS Foundation Trust",Access to services,Urgent and emergency care,OF0014,Percentage of emergency department attendances spending over 12 hours in the department,Q1 2025/26,percent,19.5,8.36,4.14,12.92,118.0
