"RXCUI","DRUG_DESCRIPTION","VOCABULARY","CODE","INDICATION_DESCRIPTION"
6703,"megestrol","ICD10CM","R63.5","Abnormal weight gain"
6703,"megestrol","ICD10CM","R64","Cachexia"
6703,"megestrol","ICD10CM","Z78.9","Other specified health status"
6703,"megestrol","ICD9CM","042","Human immunodeficiency virus [HIV] disease"
6703,"megestrol","ICD9CM","042-042.99","HUMAN IMMUNODEFICIENCY VIRUS [HIV] INFECTION"
6703,"megestrol","ICD9CM","182","Malignant neoplasm of body of uterus"
6703,"megestrol","ICD9CM","239.3","Neoplasm of unspecified nature of breast"
6703,"megestrol","ICD9CM","239.5","Neoplasm of unspecified nature of other genitourinary organs"
6703,"megestrol","ICD9CM","780.79","Other malaise and fatigue"
6703,"megestrol","ICD9CM","783.0","Anorexia"
6703,"megestrol","ICD9CM","783.9","Other symptoms concerning nutrition, metabolism, and development"
6703,"megestrol","ICD9CM","799.4","Cachexia"
6704,"meglumine","ICD10CM","B55.0","Kala-azar"
6704,"meglumine","ICD10CM","B55.1","Cutaneous leishmaniasis"
6704,"meglumine","ICD9CM","085.0","Visceral [kala-azar] leishmaniasis"
6711,"melatonin","ICD10CM","F33.2","Major depressive disorder, recurrent severe without psychotic features"
6711,"melatonin","ICD10CM","F33.9","Major depressive disorder, recurrent, unspecified"
6711,"melatonin","ICD10CM","G47.25","Circadian rhythm sleep disorder, jet lag type"
6711,"melatonin","ICD9CM","296.99","Other specified episodic mood disorder"
6711,"melatonin","ICD9CM","327.35","Circadian rhythm sleep disorder, jet lag type"
6718,"melphalan","ICD10CM","C49.9","Malignant neoplasm of connective and soft tissue, unspecified"
6718,"melphalan","ICD10CM","C56","Malignant neoplasm of ovary"
6718,"melphalan","ICD10CM","C56.9","Malignant neoplasm of unspecified ovary"
6718,"melphalan","ICD10CM","C71.9","Malignant neoplasm of brain, unspecified"
6718,"melphalan","ICD10CM","C74.90","Malignant neoplasm of unspecified part of unspecified adrenal gland"
6718,"melphalan","ICD10CM","C75.5","Malignant neoplasm of aortic body and other paraganglia"
6718,"melphalan","ICD10CM","C76.1","Malignant neoplasm of thorax"
6718,"melphalan","ICD10CM","C76.3","Malignant neoplasm of pelvis"
6718,"melphalan","ICD10CM","C76.8","Malignant neoplasm of other specified ill-defined sites"
6718,"melphalan","ICD10CM","C79.49","Secondary malignant neoplasm of other parts of nervous system"
6718,"melphalan","ICD10CM","C79.9","Secondary malignant neoplasm of unspecified site"
6718,"melphalan","ICD10CM","C90.0","Kahler's disease"
6718,"melphalan","ICD10CM","C90.00","Multiple myeloma NOS"
6718,"melphalan","ICD10CM","D49.3","Neoplasm of unspecified behavior of breast"
6718,"melphalan","ICD10CM","D49.59","Neoplasm of unspecified behavior of other genitourinary organ"
6718,"melphalan","ICD9CM","171.9","Malignant neoplasm of connective and other soft tissue, site unspecified"
6718,"melphalan","ICD9CM","183.0","Malign neopl ovary"
6718,"melphalan","ICD9CM","203.0","Multiple myeloma"
6718,"melphalan","ICD9CM","203.00","Multiple myeloma, without mention of having achieved remission"
6718,"melphalan","ICD9CM","239.3","Neoplasm of unspecified nature of breast"
6718,"melphalan","ICD9CM","239.5","Neoplasm of unspecified nature of other genitourinary organs"
6719,"memantine","ICD10CM","F02.80","Dementia in other diseases classified elsewhere without behavioral disturbance"
6719,"memantine","ICD10CM","F03","Unspecified dementia"
6719,"memantine","ICD10CM","F03.9","Unspecified dementia"
6719,"memantine","ICD10CM","F03.90","Dementia NOS"
6719,"memantine","ICD10CM","F84.3","Other childhood disintegrative disorder"
6719,"memantine","ICD10CM","G30","Alzheimer's disease"
6719,"memantine","ICD10CM","G30.9","Alzheimer's disease, unspecified"
6719,"memantine","ICD9CM","290","Dementias"
6719,"memantine","ICD9CM","290.1","Presenile dementia"
6719,"memantine","ICD9CM","294.2","Dementia, unspecified"
6719,"memantine","ICD9CM","294.8","Other persistent mental disorders due to conditions classified elsewhere"
6719,"memantine","ICD9CM","331.0","Alzheimer s disease"
6719,"memantine","ICD9CM","331.11","Pick's disease"
6719,"memantine","ICD9CM","331.81","Reye's syndrome"
6719,"memantine","ICD9CM","331.9","Cerebral degeneration, unspecified"
6750,"menthol","ICD10CM","K58.0","Irritable bowel syndrome with diarrhea"
6750,"menthol","ICD10CM","L98.9","Disorder of the skin and subcutaneous tissue, unspecified"
6750,"menthol","ICD10CM","P78.3","Noninfective neonatal diarrhea"
6750,"menthol","ICD10CM","P83.9","Condition of the integument specific to newborn, unspecified"
6750,"menthol","ICD10CM","P92.09","Other vomiting of newborn"
6750,"menthol","ICD10CM","R11.10","Vomiting NOS"
6750,"menthol","ICD10CM","R19.7","Diarrhea NOS"
6750,"menthol","ICD10CM","R52","Pain NOS"
6750,"menthol","ICD10CM","T14.8","Contusion NOS"
6750,"menthol","ICD9CM","338-338.99","PAIN"
6750,"menthol","ICD9CM","680-709.99","DISEASES OF THE SKIN AND SUBCUTANEOUS TISSUE"
6750,"menthol","ICD9CM","702.0","Actinic keratosis"
6750,"menthol","ICD9CM","702.1","Seborrheic keratosis"
6750,"menthol","ICD9CM","709.9","Unspecified disorder of skin and subcutaneous tissue"
6750,"menthol","ICD9CM","780.99","Other general symptoms"
6754,"meperidine","ICD10CM","R52","Acute pain NOS"
6754,"meperidine","ICD9CM","338-338.99","PAIN"
6754,"meperidine","ICD9CM","780.99","Other general symptoms"
6758,"mephobarbital","ICD10CM","G40.309","Generalized idiopathic epilepsy and epileptic syndromes, not intractable, without status epilepticus"
6758,"mephobarbital","ICD10CM","G40.A09","Absence epileptic syndrome, not intractable, without status epilepticus"
6758,"mephobarbital","ICD10CM","G40.A19","Absence epileptic syndrome, intractable, without status epilepticus"
6758,"mephobarbital","ICD9CM","345.10","Generalized convulsive epilepsy, without mention of intractable epilepsy"
6758,"mephobarbital","ICD9CM","780.39","Other convulsions"
6759,"mepivacaine","ICD10CM","R52","Pain NOS"
6759,"mepivacaine","ICD9CM","338-338.99","PAIN"
6759,"mepivacaine","ICD9CM","780.99","Other general symptoms"
6760,"meprobamate","ICD10CM","F41.1","Anxiety reaction"
6760,"meprobamate","ICD10CM","F41.9","Anxiety disorder, unspecified"
6760,"meprobamate","ICD10CM","F48.9","Nonpsychotic mental disorder, unspecified"
6760,"meprobamate","ICD10CM","M62.83","Muscle spasm"
6760,"meprobamate","ICD10CM","R25.2","Cramp and spasm"
6760,"meprobamate","ICD10CM","R29.898","Other symptoms and signs involving the musculoskeletal system"
6760,"meprobamate","ICD10CM","R45.0","Nervousness"
6760,"meprobamate","ICD10CM","R45.89","Other symptoms and signs involving emotional state"
6760,"meprobamate","ICD10CM","R51","Headache"
6760,"meprobamate","ICD10CM","Z63.79","Other stressful life events affecting family and household"
6760,"meprobamate","ICD9CM","300.2","Phobic disorders"
6760,"meprobamate","ICD9CM","300.20","Phobia, unspecified"
6760,"meprobamate","ICD9CM","300.9","Unspecified nonpsychotic mental disorder"
6760,"meprobamate","ICD9CM","728.85","Spasm of muscle"
6760,"meprobamate","ICD9CM","784.0","Headache"
6760,"meprobamate","ICD9CM","784.92","Jaw pain"
6765,"tiopronin","ICD10CM","E72.01","Cystinuria"
6765,"tiopronin","ICD10CM","N20.0","Calculus of kidney"
6765,"tiopronin","ICD9CM","271.0","Glycogenosis"
6765,"tiopronin","ICD9CM","271.1","Galactosemia"
6765,"tiopronin","ICD9CM","274.11","Uric acid nephrolithiasis"
6765,"tiopronin","ICD9CM","592","Calculus of kidney and ureter"
6765,"tiopronin","ICD9CM","592.0","Calculus of kidney"
6782,"mestranol","ICD10CM","D49.59","Neoplasm of unspecified behavior of other genitourinary organ"
6782,"mestranol","ICD10CM","Z33.1","Pregnant state, incidental"
6782,"mestranol","ICD9CM","239.5","Neoplasm of unspecified nature of other genitourinary organs"
6782,"mestranol","ICD9CM","V22.2","Pregnant state, incidental"
6809,"metformin","ICD10CM","E08-E13","Diabetes mellitus (E08-E13)"
6809,"metformin","ICD10CM","E10.9","Type 1 diabetes mellitus without complications"
6809,"metformin","ICD10CM","E11","Type 2 diabetes mellitus"
6809,"metformin","ICD10CM","E11.69","Type 2 diabetes mellitus with other specified complication"
6809,"metformin","ICD10CM","E11.9","Type 2 diabetes mellitus without complications"
6809,"metformin","ICD10CM","E87.2","Acidosis"
6809,"metformin","ICD10CM","I21","cardiac infarction"
6809,"metformin","ICD10CM","I21.9","Acute myocardial infarction, unspecified"
6809,"metformin","ICD10CM","I22","cardiac infarction"
6809,"metformin","ICD10CM","I63.9","Cerebral infarction, unspecified"
6809,"metformin","ICD10CM","R41.89","Other symptoms and signs involving cognitive functions and awareness"
6809,"metformin","ICD10CM","R73.9","Hyperglycemia, unspecified"
6809,"metformin","ICD10CM","R99","Ill-defined and unknown cause of mortality"
6809,"metformin","ICD9CM","250","Diabetes mellitus"
6809,"metformin","ICD9CM","250.00","Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled"
6809,"metformin","ICD9CM","250.1","Diabetes with ketoacidosis"
6809,"metformin","ICD9CM","271.8","Other specified disorders of carbohydrate transport and metabolism"
6809,"metformin","ICD9CM","410","Acute myocardial infarction"
6809,"metformin","ICD9CM","410.9","Acute myocardial infarction, unspecified site"
6809,"metformin","ICD9CM","410.90","Acute myocardial infarction of unspecified site, episode of care unspecified"
6809,"metformin","ICD9CM","430-438.99","CEREBROVASCULAR DISEASE"
6809,"metformin","ICD9CM","434.91","Cerebral artery occlusion, unspecified with cerebral infarction"
6809,"metformin","ICD9CM","436","Cva"
6809,"metformin","ICD9CM","437.9","Unspecified cerebrovascular disease"
6809,"metformin","ICD9CM","459.9","Unspecified circulatory system disorder"
6809,"metformin","ICD9CM","790.6","Other abnormal blood chemistry"
6813,"methadone","ICD10CM","F11","Opioid related disorders"
6813,"methadone","ICD10CM","F11.14","Opioid abuse with opioid-induced mood disorder"
6813,"methadone","ICD10CM","F11.2","Opioid dependence"
6813,"methadone","ICD10CM","F11.20","Opioid dependence, uncomplicated"
6813,"methadone","ICD10CM","F11.24","Opioid dependence with opioid-induced mood disorder"
6813,"methadone","ICD10CM","F11.921","Opioid use, unspecified with intoxication delirium"
6813,"methadone","ICD10CM","F11.93","Opioid use, unspecified with withdrawal"
6813,"methadone","ICD10CM","F11.94","Opioid use, unspecified with opioid-induced mood disorder"
6813,"methadone","ICD10CM","F11.950","Opioid use, unspecified with opioid-induced psychotic disorder with delusions"
6813,"methadone","ICD10CM","F11.951","Opioid use, unspecified with opioid-induced psychotic disorder with hallucinations"
6813,"methadone","ICD10CM","F11.981","Opioid use, unspecified with opioid-induced sexual dysfunction"
6813,"methadone","ICD10CM","F11.988","Opioid use, unspecified with other opioid-induced disorder"
6813,"methadone","ICD10CM","G40.509","Epileptic seizures related to external causes, not intractable, without status epilepticus"
6813,"methadone","ICD10CM","R52","Acute pain NOS"
6813,"methadone","ICD9CM","292.89","Other specified drug-induced mental disorders"
6813,"methadone","ICD9CM","304.0","Opioid type dependence"
6813,"methadone","ICD9CM","304.00","Opioid dependence-unspec"
6813,"methadone","ICD9CM","338-338.99","PAIN"
6813,"methadone","ICD9CM","780.99","Other general symptoms"
6816,"metamfetamine","ICD10CM","E66.9","Obesity NOS"
6816,"metamfetamine","ICD10CM","F90","Attention-deficit hyperactivity disorders"
6816,"metamfetamine","ICD10CM","F90.1","Attention-deficit hyperactivity disorder, predominantly hyperactive type"
6816,"metamfetamine","ICD10CM","F90.9","Attention-deficit hyperactivity disorder NOS"
6816,"metamfetamine","ICD10CM","G11.9","Hereditary ataxia, unspecified"
6816,"metamfetamine","ICD10CM","G47.41","Narcolepsy"
6816,"metamfetamine","ICD10CM","G47.419","Narcolepsy NOS"
6816,"metamfetamine","ICD10CM","G47.421","Narcolepsy in conditions classified elsewhere with cataplexy"
6816,"metamfetamine","ICD10CM","G47.429","Narcolepsy in conditions classified elsewhere without cataplexy"
6816,"metamfetamine","ICD10CM","H90.5","Unspecified sensorineural hearing loss"
6816,"metamfetamine","ICD10CM","R63.4","Abnormal weight loss"
6816,"metamfetamine","ICD10CM","Z68.41","Body mass index (BMI) 40.0-44.9, adult"
6816,"metamfetamine","ICD9CM","278.00","Obesity NOS"
6816,"metamfetamine","ICD9CM","314","Hyperkinetic syndrome of childhood"
6816,"metamfetamine","ICD9CM","314.01","Attention deficit disorder with hyperactivity"
6816,"metamfetamine","ICD9CM","314.9","Hyperkinetic synd NOS"
6816,"metamfetamine","ICD9CM","341.1","Schilder's disease"
6816,"metamfetamine","ICD9CM","347.0","Narcolepsy"
6816,"metamfetamine","ICD9CM","347.00","Narcolepsy, without cataplexy"
6816,"metamfetamine","ICD9CM","783.21","Abnormal loss of weight"
6816,"metamfetamine","ICD9CM","783.9","Other symptoms concerning nutrition, metabolism, and development"
6826,"methazolamide","ICD10CM","H40","Glaucoma"
6826,"methazolamide","ICD10CM","H40-H42","Glaucoma (H40-H42)"
6826,"methazolamide","ICD10CM","H40.039","Anatomical narrow angle, unspecified eye"
6826,"methazolamide","ICD10CM","H40.1","Open-angle glaucoma"
6826,"methazolamide","ICD10CM","H40.10","Unspecified open-angle glaucoma"
6826,"methazolamide","ICD10CM","H40.10X0","Unspecified open-angle glaucoma, stage unspecified"
6826,"methazolamide","ICD10CM","H40.13","Pigmentary glaucoma"
6826,"methazolamide","ICD10CM","H40.1390","Pigmentary glaucoma, unspecified eye, stage unspecified"
6826,"methazolamide","ICD10CM","H40.20X0","Unspecified primary angle-closure glaucoma, stage unspecified"
6826,"methazolamide","ICD10CM","H40.2290","Chronic angle-closure glaucoma, unspecified eye, stage unspecified"
6826,"methazolamide","ICD10CM","H40.9","Unspecified glaucoma"
6826,"methazolamide","ICD10CM","Q15.0","Congenital glaucoma"
6826,"methazolamide","ICD9CM","365","Glaucoma"
6826,"methazolamide","ICD9CM","365.1","Open-angle glaucoma"
6826,"methazolamide","ICD9CM","365.10","Open-angle glaucoma NOS"
6826,"methazolamide","ICD9CM","365.13","Pigmentary glaucoma"
6826,"methazolamide","ICD9CM","365.2","Primary angle-closure glaucoma"
6826,"methazolamide","ICD9CM","365.20","Primary angle-closure glaucoma, unspecified"
6826,"methazolamide","ICD9CM","365.23","Chronic angle-closure glaucoma"
6826,"methazolamide","ICD9CM","365.9","Glaucoma NOS"
6832,"methenamine","ICD10CM","A49.01","Methicillin susceptible Staphylococcus aureus infection, unspecified site"
6832,"methenamine","ICD10CM","B96.20","Escherichia coli [E. coli] NOS"
6832,"methenamine","ICD10CM","B99.9","Unspecified infectious disease"
6832,"methenamine","ICD10CM","N13.6","Pyonephrosis"
6832,"methenamine","ICD10CM","N30","Cystitis"
6832,"methenamine","ICD10CM","N30.20","Other chronic cystitis without hematuria"
6832,"methenamine","ICD10CM","N30.80","Other cystitis without hematuria"
6832,"methenamine","ICD10CM","N30.9","Cystitis, unspecified"
6832,"methenamine","ICD10CM","N30.90","Cystitis, unspecified without hematuria"
6832,"methenamine","ICD10CM","N39.0","Urinary tract infection, site not specified"
6832,"methenamine","ICD10CM","O23.40","Unspecified infection of urinary tract in pregnancy, unspecified trimester"
6832,"methenamine","ICD10CM","O90.9","Complication of the puerperium, unspecified"
6832,"methenamine","ICD10CM","P39.3","Neonatal urinary tract infection"
6832,"methenamine","ICD10CM","R68.89","Other general symptoms and signs"
6832,"methenamine","ICD10CM","R82.71","Bacteriuria"
6832,"methenamine","ICD10CM","Z37.9","Outcome of delivery, unspecified"
6832,"methenamine","ICD9CM","041.10","Staphylococcus infection in conditions classified elsewhere and of unspecified site, staphylococcus, unspecified"
6832,"methenamine","ICD9CM","041.4","Escherichia coli [E. coli] infection in conditions classified elsewhere and of unspecified site"
6832,"methenamine","ICD9CM","041.49","E.coli infection NEC/NOS"
6832,"methenamine","ICD9CM","136.9","Unspecified infectious and parasitic diseases"
6832,"methenamine","ICD9CM","595","Cystitis"
6832,"methenamine","ICD9CM","595.3","Trigonitis"
6832,"methenamine","ICD9CM","595.9","Cystitis NOS"
6832,"methenamine","ICD9CM","599.0","Urin tract infection NOS"
6832,"methenamine","ICD9CM","599.6","Urinary obstruction"
6832,"methenamine","ICD9CM","599.60","Urinary obstruction, unspecified"
6832,"methenamine","ICD9CM","780.99","Other general symptoms"
6832,"methenamine","ICD9CM","791.9","Other nonspecific findings on examination of urine"
6835,"methimazole","ICD10CM","E04.9","Goiter NOS"
6835,"methimazole","ICD10CM","E05.01","Thyrotoxicosis with diffuse goiter with thyrotoxic crisis or storm"
6835,"methimazole","ICD10CM","E05.11","Thyrotoxicosis with toxic single thyroid nodule with thyrotoxic crisis or storm"
6835,"methimazole","ICD10CM","E05.21","Thyrotoxicosis with toxic multinodular goiter with thyrotoxic crisis or storm"
6835,"methimazole","ICD10CM","E05.31","Thyrotoxicosis from ectopic thyroid tissue with thyrotoxic crisis or storm"
6835,"methimazole","ICD10CM","E05.41","Thyrotoxicosis factitia with thyrotoxic crisis or storm"
6835,"methimazole","ICD10CM","E05.9","Hyperthyroidism NOS"
6835,"methimazole","ICD10CM","E05.90","Thyrotoxicosis, unspecified without thyrotoxic crisis or storm"
6835,"methimazole","ICD10CM","E05.91","Thyrotoxicosis, unspecified with thyrotoxic crisis or storm"
6835,"methimazole","ICD10CM","O01.9","Hydatidiform mole, unspecified"
6835,"methimazole","ICD10CM","P72.0","Neonatal goiter, not elsewhere classified"
6835,"methimazole","ICD10CM","P72.1","Transitory neonatal hyperthyroidism"
6835,"methimazole","ICD9CM","06","Operations on thyroid and parathyroid glands"
6835,"methimazole","ICD9CM","240-246.99","DISORDERS OF THYROID GLAND"
6835,"methimazole","ICD9CM","240.9","Goiter NOS"
6835,"methimazole","ICD9CM","242","Thyrotoxicosis with or without goiter"
6835,"methimazole","ICD9CM","242.1","Toxic uninodular goiter"
6835,"methimazole","ICD9CM","242.90","Thyrotoxicosis without mention of goiter or other cause, and without mention of thyrotoxic crisis or storm"
6835,"methimazole","ICD9CM","242.91","Thyrotoxicosis without mention of goiter or other cause, with mention of thyrotoxic crisis or storm"
6835,"methimazole","ICD9CM","246.9","Unspecified disorder of thyroid"
6845,"guaiphenesin carbamate","ICD10CM","A35","Other tetanus"
6845,"guaiphenesin carbamate","ICD10CM","G72.49","Inflammatory myopathy NOS"
6845,"guaiphenesin carbamate","ICD10CM","M60","Myositis"
6845,"guaiphenesin carbamate","ICD10CM","M60.9","Myositis, unspecified"
6845,"guaiphenesin carbamate","ICD10CM","M62.83","Muscle spasm"
6845,"guaiphenesin carbamate","ICD10CM","R25.2","Cramp and spasm"
6845,"guaiphenesin carbamate","ICD10CM","R29.898","Other symptoms and signs involving the musculoskeletal system"
6845,"guaiphenesin carbamate","ICD10CM","R52","Pain NOS"
6845,"guaiphenesin carbamate","ICD9CM","037","Tetanus"
6845,"guaiphenesin carbamate","ICD9CM","041.84","Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other anaerobes"
6845,"guaiphenesin carbamate","ICD9CM","338-338.99","PAIN"
6845,"guaiphenesin carbamate","ICD9CM","728.85","Spasm of muscle"
6845,"guaiphenesin carbamate","ICD9CM","729.1","Myalgia and myositis, unspecified"
6845,"guaiphenesin carbamate","ICD9CM","780.99","Other general symptoms"
6845,"guaiphenesin carbamate","ICD9CM","781.99","Other symptoms involving nervous and musculoskeletal systems"
6851,"methotrexate","ICD10CM","C40.00","Malignant neoplasm of scapula and long bones of unspecified upper limb"
6851,"methotrexate","ICD10CM","C41.0","Malignant neoplasm of bones of skull and face"
6851,"methotrexate","ICD10CM","C41.4","Malignant neoplasm of pelvic bones, sacrum and coccyx"
6851,"methotrexate","ICD10CM","C41.9","Malignant neoplasm of bone and articular cartilage, unspecified"
6851,"methotrexate","ICD10CM","C50.919","Malignant neoplasm of unspecified site of unspecified female breast"
6851,"methotrexate","ICD10CM","C50.929","Malignant neoplasm of unspecified site of unspecified male breast"
6851,"methotrexate","ICD10CM","C56.9","Malignant neoplasm of unspecified ovary"
6851,"methotrexate","ICD10CM","C58","choriocarcinoma NOS"
6851,"methotrexate","ICD10CM","C62.90","Malignant neoplasm of testis NOS"
6851,"methotrexate","ICD10CM","C83.70","Burkitt lymphoma, unspecified site"
6851,"methotrexate","ICD10CM","C84.0","Mycosis fungoides"
6851,"methotrexate","ICD10CM","C84.00","Mycosis fungoides, unspecified site"
6851,"methotrexate","ICD10CM","C85.9","Lymphoma NOS"
6851,"methotrexate","ICD10CM","C85.90","Non-Hodgkin lymphoma, unspecified, unspecified site"
6851,"methotrexate","ICD10CM","C95","Leukemia of unspecified cell type"
6851,"methotrexate","ICD10CM","C95.9","Leukemia, unspecified"
6851,"methotrexate","ICD10CM","C95.90","Leukemia NOS"
6851,"methotrexate","ICD10CM","D49.0","Neoplasm of unspecified behavior of digestive system"
6851,"methotrexate","ICD10CM","D49.1","Neoplasm of unspecified behavior of respiratory system"
6851,"methotrexate","ICD10CM","D49.3","Neoplasm of unspecified behavior of breast"
6851,"methotrexate","ICD10CM","D49.59","Neoplasm of unspecified behavior of other genitourinary organ"
6851,"methotrexate","ICD10CM","H20.00","Unspecified acute and subacute iridocyclitis"
6851,"methotrexate","ICD10CM","K50","Crohn's disease [regional enteritis]"
6851,"methotrexate","ICD10CM","K50.9","Crohn's disease, unspecified"
6851,"methotrexate","ICD10CM","K50.90","Crohn's disease NOS"
6851,"methotrexate","ICD10CM","L40","Psoriasis"
6851,"methotrexate","ICD10CM","L40.5","Arthropathic psoriasis"
6851,"methotrexate","ICD10CM","L40.50","Arthropathic psoriasis, unspecified"
6851,"methotrexate","ICD10CM","L40.51","Distal interphalangeal psoriatic arthropathy"
6851,"methotrexate","ICD10CM","L40.52","Psoriatic arthritis mutilans"
6851,"methotrexate","ICD10CM","L40.53","Psoriatic spondylitis"
6851,"methotrexate","ICD10CM","L40.54","Psoriatic juvenile arthropathy"
6851,"methotrexate","ICD10CM","L40.59","Other psoriatic arthropathy"
6851,"methotrexate","ICD10CM","L40.9","Psoriasis, unspecified"
6851,"methotrexate","ICD10CM","M06.9","Rheumatoid arthritis, unspecified"
6851,"methotrexate","ICD10CM","M08","Juvenile arthritis"
6851,"methotrexate","ICD10CM","M08.00","Unspecified juvenile rheumatoid arthritis of unspecified site"
6851,"methotrexate","ICD10CM","M08.9","Juvenile arthritis, unspecified"
6851,"methotrexate","ICD10CM","M08.90","Juvenile arthritis, unspecified, unspecified site"
6851,"methotrexate","ICD10CM","O01","Hydatidiform mole"
6851,"methotrexate","ICD10CM","O01.0","Classical hydatidiform mole"
6851,"methotrexate","ICD10CM","O01.1","Incomplete and partial hydatidiform mole"
6851,"methotrexate","ICD10CM","O01.9","Hydatidiform mole, unspecified"
6851,"methotrexate","ICD10CM","O02.0","Blighted ovum and nonhydatidiform mole"
6851,"methotrexate","ICD9CM","140-239.99","NEOPLASMS"
6851,"methotrexate","ICD9CM","151","Malignant neoplasm of stomach"
6851,"methotrexate","ICD9CM","151.9","Malignant neoplasm of stomach, unspecified site"
6851,"methotrexate","ICD9CM","170.9","Malignant neoplasm of bone and articular cartilage, site unspecified"
6851,"methotrexate","ICD9CM","199","Malignant neoplasm without specification of site"
6851,"methotrexate","ICD9CM","200.1","Lymphosarcoma"
6851,"methotrexate","ICD9CM","200.5","Primary central nervous system lymphoma"
6851,"methotrexate","ICD9CM","200.80","Other named variants of lymphosarcoma and reticulosarcoma, unspecified site, extranodal and solid organ sites"
6851,"methotrexate","ICD9CM","202.1","Mycosis fungoides"
6851,"methotrexate","ICD9CM","202.80","Other malignant lymphomas, unspecified site, extranodal and solid organ sites"
6851,"methotrexate","ICD9CM","204.0","Lymphoid leukemia, acute"
6851,"methotrexate","ICD9CM","208","Leukemia of unspecified cell type"
6851,"methotrexate","ICD9CM","208.9","Unspecified leukemia"
6851,"methotrexate","ICD9CM","208.90","Unspecified leukemia, without mention of having achieved remission"
6851,"methotrexate","ICD9CM","239.3","Neoplasm of unspecified nature of breast"
6851,"methotrexate","ICD9CM","239.5","Neoplasm of unspecified nature of other genitourinary organs"
6851,"methotrexate","ICD9CM","555","Regional enteritis"
6851,"methotrexate","ICD9CM","555.9","Regional enteritis of unspecified site"
6851,"methotrexate","ICD9CM","630","Hydatidiform mole"
6851,"methotrexate","ICD9CM","631","Other abnormal product of conception"
6851,"methotrexate","ICD9CM","696.0","Psoriatic arthropathy"
6851,"methotrexate","ICD9CM","696.1","Other psoriasis"
6851,"methotrexate","ICD9CM","696.2","Parapsoriasis"
6851,"methotrexate","ICD9CM","714.0","Rheumatoid arthritis"
6852,"levomepromazine","ICD10CM","F20","Schizophrenia"
6852,"levomepromazine","ICD10CM","F20.9","Schizophrenia, unspecified"
6852,"levomepromazine","ICD10CM","F29","Unspecified psychosis not due to a substance or known physiological condition"
6852,"levomepromazine","ICD10CM","F31","Bipolar disorder"
6852,"levomepromazine","ICD10CM","F31.9","Bipolar disorder, unspecified"
6852,"levomepromazine","ICD10CM","F41.9","Anxiety disorder, unspecified"
6852,"levomepromazine","ICD10CM","F84.5","Asperger's syndrome"
6852,"levomepromazine","ICD10CM","R52","Pain NOS"
6852,"levomepromazine","ICD9CM","290-299.99","PSYCHOSES"
6852,"levomepromazine","ICD9CM","295","Schizophrenic disorders"
6852,"levomepromazine","ICD9CM","295.9","Unspecified schizophrenia"
6852,"levomepromazine","ICD9CM","295.90","Schizophrenia NOS-unspec"
6852,"levomepromazine","ICD9CM","296.80","Bipolar disorder NOS"
6852,"levomepromazine","ICD9CM","298.9","Psychosis NOS"
6852,"levomepromazine","ICD9CM","300.2","Phobic disorders"
6852,"levomepromazine","ICD9CM","300.20","Phobia, unspecified"
6852,"levomepromazine","ICD9CM","338-338.99","PAIN"
6852,"levomepromazine","ICD9CM","780.99","Other general symptoms"
6854,"methoxsalen","ICD10CM","C84.0","Mycosis fungoides"
6854,"methoxsalen","ICD10CM","C84.00","Mycosis fungoides, unspecified site"
6854,"methoxsalen","ICD10CM","C84.A0","Cutaneous T-cell lymphoma, unspecified, unspecified site"
6854,"methoxsalen","ICD10CM","L40","Psoriasis"
6854,"methoxsalen","ICD10CM","L40.9","Psoriasis, unspecified"
6854,"methoxsalen","ICD10CM","L80","Vitiligo"
6854,"methoxsalen","ICD9CM","202.1","Mycosis fungoides"
6854,"methoxsalen","ICD9CM","202.80","Other malignant lymphomas, unspecified site, extranodal and solid organ sites"
6854,"methoxsalen","ICD9CM","696.1","Other psoriasis"
6854,"methoxsalen","ICD9CM","696.2","Parapsoriasis"
6854,"methoxsalen","ICD9CM","709.01","Vitiligo"
6854,"methoxsalen","ICD9CM","99.82","Ultraviolet light therapy"
6860,"methyclothiazide","ICD10CM","I10","Essential (primary) hypertension"
6860,"methyclothiazide","ICD10CM","I21","cardiac infarction"
6860,"methyclothiazide","ICD10CM","I21.9","Acute myocardial infarction, unspecified"
6860,"methyclothiazide","ICD10CM","I22","cardiac infarction"
6860,"methyclothiazide","ICD10CM","I50","Heart failure"
6860,"methyclothiazide","ICD10CM","I50.9","Congestive heart disease"
6860,"methyclothiazide","ICD10CM","I63.9","Cerebral infarction, unspecified"
6860,"methyclothiazide","ICD10CM","K70-K77","Diseases of liver (K70-K77)"
6860,"methyclothiazide","ICD10CM","K74.60","Cirrhosis (of liver) NOS"
6860,"methyclothiazide","ICD10CM","K76.9","Liver disease, unspecified"
6860,"methyclothiazide","ICD10CM","N04","Nephrotic syndrome"
6860,"methyclothiazide","ICD10CM","N04.9","Nephrotic syndrome with unspecified morphologic changes"
6860,"methyclothiazide","ICD10CM","N05","glomerulonephritis NOS"
6860,"methyclothiazide","ICD10CM","N05.9","Unspecified nephritic syndrome with unspecified morphologic changes"
6860,"methyclothiazide","ICD10CM","N08","Glomerulonephritis"
6860,"methyclothiazide","ICD10CM","N18.9","Chronic kidney disease, unspecified"
6860,"methyclothiazide","ICD10CM","N19","Unspecified kidney failure"
